index,id,name,location.lat,location.lng,location.postalCode,location.cc,location.city,location.state,location.country,location.formattedAddress,location.address,location.crossStreet,Category,venuePage.id,location.neighborhood,Closest Town,Category Type
0,59da09e5916bc1155fa8e923,Sport a Kulturzenter,49.887571,5.981206,9157,LU,Esch an der Sauer,Dikrech,Lëtzebuerg,"9157 Esch an der Sauer, Lëtzebuerg",,,Cultural Center,,,Wiltz,Professional & Other Places
485,5e9e64c0b247fb0008cc9962,Lëtzebuerg City Museum,49.610056,6.133499,1475,LU,Lëtzebuerg,Lëtzebuerg,Lëtzebuerg,"14 rue Du Saint Esprit, 1475 Lëtzebuerg, Lëtzebuerg",14 rue Du Saint Esprit,,Cultural Center,,,Luxembourg City,Professional & Other Places
1,4feeff03e4b0a516c177b33a,Sports Direct,49.963721992038415,5.85722029209137,9638,LU,Pommerloch,Dikrech,Lëtzebuerg,"Route de Bastogne 19 (Knauf Center), 9638 Pommerloch, Lëtzebuerg",Route de Bastogne 19,Knauf Center,Clothing Store,,,Wiltz,Shop & Service
732,4ea3b7bce5e8ca72b78ce303,Sport Holbach,49.69564889545851,6.576044261455536,,DE,Konz,Rheinland-Pfalz,Deutschland,"Wiltinger Straße, Konz, Deutschland",Wiltinger Straße,,Clothing Store,,,Grevenmacher,Shop & Service
878,5230a9a111d2cb8dda4b50db,Rebounce Shop North,49.847288,6.10042,L-9051,LU,Ettelbruck,Dikrech,Lëtzebuerg,"71 Grand-Rue, L-9051 Ettelbruck, Lëtzebuerg",71 Grand-Rue,,Clothing Store,,,Ettelbruck,Shop & Service
1485,50d5d54fe4b0496ab49ecb70,Factory Shopping,49.608750098017694,5.809272115402573,,BE,,,België,België,,,Clothing Store,,,Differdange,Shop & Service
2,52da63b6498e781e932d8a30,Sporthal in de Bende,49.9309607315809,6.03512124158442,,LU,,,Lëtzebuerg,Lëtzebuerg,,,None,,,Ettelbruck,Professional & Other Places
11,538876c8498ee9aa7b729dae,Free record shop,49.967159972226575,5.860357876483353,,LU,Pommerloch,Dikrech,Lëtzebuerg,"route de bastogne 19, Pommerloch, Lëtzebuerg",route de bastogne 19,,None,,,Wiltz,Professional & Other Places
21,4be18b368dd062b532503e3c,Beau Sejour Hotel Wiltz,49.96935784765311,5.933005157849097,,LU,Wolz,Dikrech,Lëtzebuerg,"21 Rue du 10 Septembre, Wolz, Lëtzebuerg",21 Rue du 10 Septembre,,None,,,Wiltz,Professional & Other Places
131,4bcf6d2e0ffdce725a77b2c0,Hotel Du Parc Diekirch,49.86568370373858,6.157734790150681,,LU,Dikrech,Dikrech,Lëtzebuerg,"Avenue De La Gare 28, Dikrech, Lëtzebuerg",Avenue De La Gare 28,,None,,,Diekirch,Professional & Other Places
147,4be18b238dd062b512503e3c,Star Hotel Galaxy Diekirch,49.86723803233993,6.159423915551697,,LU,Dikrech,Dikrech,Lëtzebuerg,"Avenue de la gare 2-4, Dikrech, Lëtzebuerg",Avenue de la gare 2-4,,None,,,Diekirch,Professional & Other Places
168,4d94507e58caa1438375a725,Restaurant II,49.864154,6.170139,,LU,,,Lëtzebuerg,Lëtzebuerg,,,None,,,Diekirch,Professional & Other Places
222,4cee22ad13aea1433f146c9f,Luxgsm Shop Esch/Alzette,49.49329462433823,5.980489956115071,,LU,,,Lëtzebuerg,Lëtzebuerg,,,None,,,Esch-sur-Alzette,Professional & Other Places
